label,value
Chilcotin (culture or style),1
Toltec,1
Tzakol,1
Arenal,1
Crucero,1
Nayarit (West Coast Mesoamerican),1
Tezoyuca,1
Nguni,1
Lamba (Southern African style),1
Tawara,1
Ntwane,1
Budu,1
Gieli,1
Falasha,1
Mbala (culture or style),1
Ndembu,1
Kanyok (culture or style),1
Sango (Northwest Democratic Republic of Congo style),1
Malla,1
Vaisali,1
Rashtrakutan,1
Chosen (ancient),1
Final JÅçmon,1
Sheng-wen,1
Qin (culture or period),1
Later Zhou (Chinese),1
Chamacoco,1
Cara (Native South American style),1
Central Ge,1
ColastinÕ©,1
CarÕ_jona,1
PatagÕ_n,1
Huilliche,1
Tepecano (culture or style),1
Nahua,1
Chontal (culture or style),1
Mam (Maya style),1
Jicaque,1
Klamath,1
Lemhi,1
Costanoan,1
Erie,1
Kotosh ChavÕ_n,1
Mochica,1
Chincha,1
ManteÕ±o,1
Seventeenth Dynasty (Egyptian),1
Twenty-third Dynasty (Egyptian),1
Hellenic,1
First Intermediate period (Egyptian),1
La TÕŒne,1
Bithynian,1
Sabaean,1
Judahite,1
Tayacian,1
Epi-gravettian,1
Jayavarman (general),1
Rajendravarman,1
Karasuk,1
Tagar,1
New Georgia Island,1
Marshallese (culture or style),1
Marquesan (culture or style),1
Tendai,1
Baptist,1
Tibetan Buddhism,1
Bahaism,1
Sunni,1
Sivaism,1
Thirtieth Dynasty (Egyptian),1
Ancient Umbrian (culture or style),1
Sub-Apennine,1
Kushan,1
Yuit,1
Galician (culture or style),1
Arctic,1
Jehovah's Witnesses,1
Tumbuka (culture or style),1
Zirid,1
Ayyubid,1
Qarakhanid,1
Timurid,1
Antanosy,1
Khaydarabad-Tepe,1
New Britain,1
Venda (Northern Sotho style),1
Guro,1
Krachi,1
Bongo (Eastern Sudanese style),1
Maninka,1
Nzadi,1
Budja,1
Builsa,1
Ndengese,1
Tembu,1
Ajukru,1
North African Islamic,1
Indian Orthodox,1
Dacian,1
Lungu (East Zambian style),1
Tlhaping,1
Kamba,1
Kare (Zande-Mangbetu region style),1
Mbote,1
Pende,1
Kaonde (culture or style),1
Sengele (culture or style),1
Goma (African style),1
Kpe (culture or style),1
Kuyu,1
Mbete,1
Nzebi,1
Mbamba (Kongo),1
Gisiga,1
Isoko,1
Mbembe (Cross River style),1
Birom,1
Felup (West Atlantic style),1
Nyabwa (culture or style),1
Gun (Ewe culture),1
Tusyan,1
Vagala,1
Gula,1
Yangshao,1
Han (Chinese),1
Southeast Asian,1
ChanÕ© (Native Chaco style),1
Chibcha,1
GuaitacÕç,1
CorondÕç,1
Caripuna,1
Piro,1
Lipe,1
Timote,1
Otomi,1
Cuicatec,1
Pokomam,1
Lenca,1
Coos (culture or style),1
CupeÕ±o (Native American style),1
Chanapata,1
Nazca,1
Huamachuco (Pre-Columbian style),1
Milagro (Pre-Columbian culture or style),1
Tepeu,1
Miraflores,1
Izapa,1
Patlichique,1
Memphite,1
Romano-Egyptian,1
Middle Kingdom (Egyptian),1
Parthian,1
Arian (Greek culture),1
Unetician (Bronze Age culture or period),1
ErtebÕôlle,1
Cucuteni-Tripolye,1
Sikkimese,1
Gurkha,1
Gond,1
Sena (Late Indian style),1
San Cristobal,1
Nauruan (culture or style),1
Zen (Japanese Buddhism),1
Bon (religion),1
Eastern Catholic,1
Vaisnavism,1
Pennsylvania German,1
Dutch Antillean,1
Thirty-first Dynasty (Egyptian),1
Terramare,1
Gupta,1
Calvinism,1
Vajrayana,1
Khmer (general),1
Sami,1
Carthusian,1
Marcionism,1
Salampasu,1
Alagya,1
Ntem (Cameroon Grassfields style),1
Bara (Malagasy style),1
Kukhn-Kala,1
Almoravid,1
Mamluk (culture or style),1
Karakoyunlu,1
New Ireland,1
Kissi (culture or style),1
Samo,1
Sakata (culture or style),1
Bwa,1
Spanish Islamic,1
Syriac Orthodox,1
Kanuri (culture or style),1
Late Chiripa,1
Huari,1
Dogrib (culture or style),1
Aurora,1
Ilusiones,1
ChimalhuacÕçn,1
Punuk,1
Maravi,1
Tlokwa,1
Kikuyu,1
Mbuti,1
Gondar,1
Suku,1
Shinji,1
Kusu (Luba region style),1
Yangere,1
Hunde,1
Kundu,1
Maka,1
Ngom,1
Punu,1
Ngangela,1
Mbata,1
Daba,1
Itsekiri,1
Ogoni,1
Buji,1
Gola (West Atlantic style),1
Sassanian,1
Urnfield (Bronze Age culture or period),1
Hamburgian,1
Danilo,1
Udayadityavarman I,1
Swat,1
Hindustani (culture or style),1
Solanki,1
Sulawesi,1
Qingliangang,1
Three Kingdoms (Chinese),1
Warrau,1
ChorotÕ_,1
ChocÕ_ (culture or style),1
GuaranÕ_ (culture or style),1
MbeguÕç,1
Catukina,1
Lule,1
Pame,1
Huave,1
QuichÕ©,1
Mangue (Native Central American style),1
Panamint,1
Cowlitz (culture or style),1
GabrieliÕ±o (culture or style),1
Santa Cruz Islands,1
Pohnpeian (culture or style),1
Samoan (culture or style),1
I-Kiribati,1
Isin-Larsa,1
Congregationalism,1
Mormonism,1
Saxon (modern),1
Pilgrim (style),1
Cistercian,1
Maronite,1
Almohad,1
Akkoyunlu,1
Kono (culture or style),1
Soninke (culture or style),1
Dagari,1
Wongo,1
Attie,1
Tikar,1
Burundi,1
Betsileo,1
Syrian Islamic,1
Kpelle (culture or style),1
Dagomba,1
Ngata,1
Avikam,1
Widekum,1
Hafsid,1
Safavid (Iranian Islamic styles ),1
Melchite,1
Mosan,1
Azorean,1
Ch'äêndogyo,1
Oriental Orthodox,1
Washkuk,1
Tikopia,1
Trukese (culture or style),1
Society Islands (style),1
Papua New Guinean,1
New Kingdom (Egyptian),1
Kassite,1
Wessex (Bronze Age culture or period),1
Hittite (culture or style),1
Maglemosian,1
KÕ_rÕ_s (Neolithic culture and style),1
Harshavarman III,1
Okunev,1
Ho (culture),1
Paramara,1
Sumatran,1
GuanÕç,1
Esmeralda,1
PatashÕ_,1
Ona,1
CayapÕ_,1
Quechua,1
Picunche,1
Totonac (culture or style),1
Izcatec,1
Rabinal,1
Mosquito (culture),1
Lake (style),1
Opata (culture or style),1
Halchidhoma,1
Paracas,1
Plains Indian,1
Han (Native American),1
Amatle,1
Laguneta,1
Tzacualli,1
Shanga,1
Kipsigis,1
Lese,1
Twa (culture or style),1
Mpangu,1
Yaka (Kwango-Kwilu region style),1
Songo,1
Luba (culture or style),1
Kasingo,1
Lundu,1
Shira,1
Ovimbundu,1
Koma,1
Ga'anda (Nigerian culture),1
Oli,1
Dakakari,1
Jola,1
Wee (culture or style),1
Kare (Lake Chad region style),1
Gascon (culture or style),1
Eotile,1
Wute,1
Ngbaka,1
Zand (style),1
Thuringian (culture or style),1
Balkan,1
Orthodox Eastern,1
Romanellian,1
Kurgan (Neolithic culture or style),1
Candella,1
Philistine,1
Tongan,1
Komo (style),1
Mpemba,1
Shona,1
Massachuset,1
Hare (Native American style),1
Tohil,1
Cotzumalhuapa,1
Miccaotli,1
Southern Paiute,1
Eyak (culture or style),1
Tepqui,1
Sanaviron,1
Mazatec,1
Tojolabal (culture or style),1
Lillooet (culture or style),1
Karankawa,1
Lengua,1
Huancavilca,1
Potiguara,1
Puelche,1
Nicarao,1
Chiriguano,1
Sui,1
Sumba,1
Lycian,1
Urhobo (culture),1
Oron,1
Kasanga (culture or style),1
Kenga,1
Yanzi,1
Mwanza,1
Shake (style),1
Glavda,1
Maasai (culture or style),1
Ngbandi,1
Landogo,1
Qajar,1
Mahafaly,1
Gwa (African style),1
Yamba,1
Central African (nationality and culture),1
Dogon (culture or style),1
Gilbertine,1
Nestorian (Christian sect),1
Pentacostalism,1
Lutheran,1
Confucianism,1
Wendish,1
Modoc,1
MatarÕç,1
Manta (South American style),1
PurÕ_-Coroado,1
QuerandÕ_,1
Paya (culture or style),1
Conibo,1
Tang (Chinese style),1
Sauveterrian,1
Lagozza,1
Gurjara-Partihara,1
Sumbawa,1
Late Period (Egyptian),1
Yapese (culture or style),1
Austral Islands,1
Yako (culture or style),1
Lagoon people,1
Kuwaa (culture or style),1
Nsapo,1
Teke (culture or style),1
Mumuye,1
Goemai,1
Mangbetu,1
Gurage (culture or style),1
Zambezi River (culture and style),1
Tsonga (Eastern Zambian),1
Ingalik (culture or style),1
Chinautla,1
Tlamimilolpa,1
Pima (Native American),1
Tumbez,1
TonocotÕ©,1
Mixe (culture or style),1
Tzeltal,1
Loma (culture or style),1
Latini,1
Pahlevi,1
Kansa (culture or style),1
Merina,1
Falafala,1
Ngiri,1
Jesuit (Christian order),1
Paulician,1
Methodist,1
Freemasonry (belief system),1
Kittian,1
Latian,1
Tuvaluan (culture or style),1
Lega,1
Nkanu,1
Xolalpan,1
Kaska (culture or style),1
Uru,1
Popoloca,1
Tzotzil,1
Molala,1
Turkestani,1
MbayÕç,1
PÕçez,1
Timbira,1
Tehuelche,1
Sumo (culture or style),1
Cubeo,1
Peking,1
Five Dynasties,1
Tashtyk,1
Swiderian,1
Lengyel,1
Chola,1
Gwari,1
Lebu,1
Kotoko,1
Sanga (Luba region style),1
Seke (culture or style),1
Pahouin,1
Mundang,1
Pannonian,1
Sakalava,1
Kyaman,1
Comorian (African style),1
Frafra,1
Ngombe,1
Mandingo (peripheral Mande Style),1
Quaker,1
Danubian (Medieval),1
Liao,1
Hispanic American,1
Phrygian,1
Tardenoisian,1
RÕ_ssen,1
Hoysala,1
Mitannian (culture or style),1
Doric (culture),1
Irigwe,1
Limba (African style),1
Laka,1
Songye,1
"Sanga (Equatorial Guinea, northern Gabon and southern Cameroon)",1
Mbugu,1
Lengola (culture or style),1
Harari,1
Solongo,1
Metepec,1
Seri (culture or style),1
Koyukon (culture or style),1
Yunca (Native Central Andean style),1
Santa Ana,1
Popoluca,1
Tzutujil (culture or style),1
Nespelem,1
Powhatan (culture or style),1
MocovÕ_,1
Pasto (Ecuadorian and Colombian style),1
TupÕ_ (style),1
TimbÕ_,1
Encabellado,1
Vazimba,1
Mano (peripheral Mande styles),1
Gonja (Gur),1
Poto,1
Shaker (Christian sect),1
Nazarene (modern Protestant),1
Hinduism,1
Jaba,1
Lele (Lake Chad region style),1
Sonyo,1
Tabwa,1
Tanga,1
Gwandara,1
Meru (culture or style),1
Metoko,1
Patwin,1
OxtotÕ_cpac,1
Quapaw (culture or style),1
Heiltsuk (culture or style),1
Uspantec,1
PayaguÕç,1
Pijao,1
Tupinamba,1
Yahgan,1
Galibi,1
Indus Valley,1
Pontian,1
Starcevo,1
Yadava,1
Neo-Babylonian,1
Epirot,1
Vezo,1
Marka,1
Gurma,1
Togbo,1
Italic (ancient Italian culture or style),1
Montserratian,1
Presbyterianism,1
Sundi,1
Yeke,1
Tsogo (culture or style),1
Vere,1
Nandi (culture or style),1
Nyindu (culture or style),1
Ndogo,1
Kemant,1
Nipmuc,1
Coyotlatelco,1
Walapai,1
Kalapuya,1
Tequislatec,1
PilagÕç,1
PuruhÕç,1
Tupinikin,1
Guahibo,1
Longshan,1
Syro-Hittite,1
Tribhuvanadityavarman,1
Stentinello,1
Pandya,1
Neo-Sumerian,1
Eretrian (Greek regional culture),1
Jarawa (culture or style),1
Missouri,1
Djiboutian,1
Mau,1
Gurunsi,1
Yakoma,1
Unitarianism,1
Nevisian,1
Nzakara,1
Salinan,1
Sarsi,1
Tlapanec,1
Sanpoil,1
TobÕç (Chaco style),1
Quillacinga,1
IpurinÕç,1
YÕ_an,1
Urartian,1
Tisza,1
Old Babylonian,1
Jibu,1
Neyo,1
Mafa,1
Vili,1
Zela,1
Waja,1
Okiek (culture or style),1
Pere,1
Kabre,1
Universalism,1
Jainism,1
Sekani (culture or style),1
Trique (culture or style),1
Zamuco,1
Quimbaya,1
Jivaro,1
Vinca,1
Post-Akkadian,1
Jukun (culture or style),1
Mandara (Lake Chad region style),1
Woyo,1
Kapsiki,1
Serrano (culture or style),1
Pennacook,1
Timucua,1
Sherbro (Mande),1
Kilinga,1
Sinkiuse,1
Tairona,1
Kuikuru,1
Munda (Indian culture or style),1
Kaleri,1
Pepel,1
Yombe (culture or style),1
Zande,1
Shasta,1
Slavey (culture or style),1
Zoque (culture or style),1
Kamberi,1
Serer,1
Masa (Lake Chad region style),1
Zombo,1
Kofyar,1
Teita,1
TÕ_batulabal,1
Pequot,1
Tunica (Native American style),1
Spokan,1
TolÕ_,1
MacÕ_,1
Srindravarman,1
Bandkeramik (Neolithic culture or style),1
Sumerian (culture or style),1
Ionian (culture or style),1
Mandaeanism,1
Susu (culture or style),1
Konkomba,1
Temne (culture or style),1
Manichaeism,1
Tobagonian,1
Katab,1
Matakam,1
Marghi,1
Tulare,1
Tuscarora (Southeastern Native American),1
Tanaina (culture or style),1
Tenino (culture or style),1
UrabÕç,1
Macuna,1
Post-Gupta,1
Srindrajayavarman,1
Sumero-Akkadian,1
Vai,1
Kurumba,1
Mithraism,1
Koro (Niger-Congo style),1
Mbum,1
Tenda (culture or style),1
Susquehanna,1
Tutelo (culture or style),1
Tanana,1
Thompson,1
Macusi,1
Gambian,1
Wan,1
Kusasi,1
Plains Ojibwa,1
Raelianism,1
Kutep,1
SaÕâ (Central Sudanese region style),1
Wolof (culture or style),1
Wampanoag (culture or style),1
Nootka (culture or style),1
Tsetsaut,1
MakiritarÕ©,1
Umatilla (culture or style),1
Santal (Indian culture),1
Lobi,1
Rastafari,1
Mada,1
Montol,1
Sangu (Central Tanzanian style),1
Wiyot (culture or style),1
Wappinger,1
Tutchone (culture or style),1
Guinea-Bissauan,1
Rosicrucian (belief system),1
Mama (culture),1
Shuwa,1
Yana (culture or style),1
Quileute (culture or style),1
Wenatchi,1
Telingana,1
Minianka (culture or style),1
Scientology,1
Mambila (culture or style),1
Tuburi,1
Musgu (culture or style),1
Mojo (style),1
Wishram,1
Vedic (culture or period),1
Shinto,1
Moba,1
MundurucÕ_,1
Villanovan,1
Mossi,1
Pabir,1
Sitka (Native American style),1
Mura (culture or style),1
Sikhism,1
Nafana,1
Nungu,1
Siuslaw (culture or style),1
Parintintin,1
Taoism,1
Naudeba,1
Nupe,1
Sukur,1
Skagit (culture or style),1
Shipaya,1
Unitarian Universalism,1
Nioniosse,1
Eastern Mono,1
Snuqualmi,1
Shipibo,1
voodoo,1
Mahoran,1
Wurkun,1
Rukuba,1
Tillamook (culture or style),1
Sinabo,1
Syracusian,1
Senufo (culture or style),1
Yergum,1
Tigong,1
TembÕ© (Native Amazonian style),1
Zoroastrianism,1
Tarantine,1
Tamberma,1
Tiv,1
Tolowa (culture or style),1
Tucano,1
Herzegovinian,1
Waiwai,1
Twana (culture or style),1
XingÕ_,1
Mauritian,1
Woaba,1
Rwandan,1
Livonian (culture or style),1
Seychellois,1
Southern European,1
Wallachian,1
Oraon (language),1
